National personal identifier endonym kebab case	National personal identifier exonym kebab case	Country name endonym	Country name exonym English	Country ISO 3166-1 code	Personal identifier name endonym	Personal identifier exonym English	Wikipedia link	Description	Where to find it
england-national-health-service-number	england-national-health-service-number	England	England	GB-ENG	National Health Service (NHS) Number	National Health Service (NHS) Number	[NHS number](https://en.wikipedia.org/wiki/NHS_number)	Ten-digit number in 3-3-4 format with a Modulus-11 check digit, allocated through the Personal Demographics Service and used as the key person identifier across the English NHS.	NHS medical card, GP correspondence, prescriptions, hospital letters, the NHS App and NHS login, and online services such as person.nhs.uk.
espana-codigo-de-identificacion-fiscal	spain-tax-identification-number	España	Spain	ES	Código de Identificación Fiscal (CIF) / Número de Identificación Fiscal (NIF)	Tax Identification Number	[VAT identification number — Spain](https://en.wikipedia.org/wiki/VAT_identification_number#Spain)	Nine characters: eight digits plus a control letter (the letters I, Ñ, O, and U are not used). Example: 99111222M. For Spanish citizens the NIF equals the DNI; foreign residents use the NIE (leading letter X, Y, or Z). Since 2008 the CIF form is reserved for legal entities, while NIF designates natural persons.	Spanish national identity card (DNI), the residence card (NIE) for foreign residents, the driving licence, and the social security card.
espana-tarjeta-sanitaria-individual	spain-individual-health-card	España	Spain	ES	Tarjeta Sanitaria Individual (TSI)	Individual Health Card (TSI)	[Tarjeta sanitaria individual](https://es.wikipedia.org/wiki/Tarjeta_sanitaria_individual)	Individual health card issued by the autonomous regional health administrations and INGESA, linked to the unique CIP-SNS code (Código de Identificación Personal del Sistema Nacional de Salud) and valid throughout Spain's National Health System.	Plastic Tarjeta Sanitaria Individual card issued by the regional health service, prescriptions, hospital identity bands, and the Mi Carpeta Ciudadana portal.
france-numero-d-identification-au-repertoire	france-social-security-number	France	France	FR	Numéro d'Identification au Répertoire (NIR)	French Social Security Number (NIR)	[Numéro de sécurité sociale en France](https://fr.wikipedia.org/wiki/Num%C3%A9ro_de_s%C3%A9curit%C3%A9_sociale_en_France)	Thirteen-digit "meaningful" code plus a two-digit check key, managed by INSEE in the Répertoire National d'Identification des Personnes Physiques (RNIPP). It encodes sex (1 male, 2 female), year and month of birth, INSEE département and commune of birth, and a serial number; commonly called the French social security number.	Carte Vitale health insurance card, payslips, tax forms, the Ameli health portal, France Connect, and pension correspondence.
hrvatska-osobni-identifikacijski-broj	croatia-osobni-identifikacijski-broj	Hrvatska	Croatia	HR	Osobni identifikacijski broj (OIB)	Personal Identification Number (OIB)	[Personal identification number (Croatia)](https://en.wikipedia.org/wiki/Personal_identification_number_(Croatia))	Eleven-digit code: ten randomly assigned digits with no information about the holder, followed by an ISO 7064 MOD 11,10 check digit. OIB is unique, unchangeable, and unrepeatable, and is the permanent identification code of every Croatian citizen and every legal person headquartered in Croatia.	Croatian national identity card (Osobna iskaznica), passport, driving licence, tax records (Porezna uprava lookup), and most personal documents.
ireland-individual-health-identifier	ireland-individual-health-identifier	Éire / Ireland	Ireland	IE	Individual Health Identifier (IHI)	Individual Health Identifier (IHI)	[Healthcare in Republic of Ireland](https://en.wikipedia.org/wiki/Healthcare_in_Republic_of_Ireland)	Ten-digit lifelong identifier created under the 2014 Health Identifiers Act and operated by the Health Service Executive (HSE) to uniquely identify every person using a health or social care service in Ireland.	HSE correspondence, hospital and GP appointment letters, the National Shared Care Record, and person-facing portals.
island-kennitala	iceland-personal-identity-code	Ísland	Iceland	IS	Kennitala	Personal Identity Code (Kennitala)	[Kennitala](https://en.wikipedia.org/wiki/Kennitala)	Ten-digit identifier in the form DDMMYY-RRCC: the first six digits are the date of birth, the next two are a random serial, then a Modulus-11 check digit, and a final digit denoting the century of birth (9 for 19th, 0 for 20th, 1 for 21st).	Icelandic National Registry (Þjóðskrá Íslands) record, national ID card, passport, driving licence, and all official forms and contracts.
italia-codice-fiscale	italy-fiscal-code	Italia	Italy	IT	Codice Fiscale (CF)	Italian Fiscal Code (CF)	[Italian fiscal code](https://en.wikipedia.org/wiki/Italian_fiscal_code)	Sixteen-character alphanumeric code issued by the Agenzia delle Entrate, derived from surname (3 letters), given name (3 letters), date of birth and sex (5 alphanumeric characters with day +40 for women), place of birth (4-character Belfiore code), and a final check letter. Example: RSSMRA62B25E205Y.	Codice Fiscale paper card or Tessera Sanitaria (national health-service card), which carries the fiscal code on a magnetic stripe.
latvija-personas-kods	latvia-personal-code	Latvija	Latvia	LV	Personas kods	Personal Code	[National identification number — Latvia](https://en.wikipedia.org/wiki/National_identification_number#Latvia)	Eleven digits in the form DDMMYY-CZZZZ: the first six are the date of birth, C is the century sign (0 for 19th century, 1 for 20th, 2 for 21st), ZZZZ is a serial number, and the last digit is a check digit.	Latvian eID card, passport, driving licence, and the official Latvija.lv portal.
liechtenstein-national-identity-card-number	liechtenstein-national-identity-card-number	Liechtenstein	Liechtenstein	LI	Identitätskarten-Nummer	National Identity Card Number	[National identity card](https://en.wikipedia.org/wiki/National_identity_card)	Combination of 2 letters and 8 numbers, for example ID022143586. The number is regenerated on each renewal of the identity card.	Liechtenstein national identity card (Identitätskarte) issued by the Office of Civil Affairs (Amt für Zivilstandswesen).
liechtenstein-passport-number	liechtenstein-passport-number	Liechtenstein	Liechtenstein	LI	Reisepass-Nummer	National Passport Number	[Liechtenstein passport](https://en.wikipedia.org/wiki/Liechtenstein_passport)	Combination of 1 letter and 5 numbers, for example R00536.	Liechtenstein passport (Reisepass) issued by the Office of Civil Affairs.
lietuva-asmens-kodas	lithuania-personal-code	Lietuva	Lithuania	LT	Asmens kodas (AK)	Personal Code	[National identification number — Lithuania](https://en.wikipedia.org/wiki/National_identification_number#Lithuania)	Eleven digits in the form GYYMMDDNNNC: G encodes sex and century of birth (3/5 for men born in the 20th/21st century, 4/6 for women born in the 20th/21st century); YYMMDD is the date of birth; NNN is a serial number; and C is a Modulus-11 check digit.	Lithuanian ID card (Asmens tapatybės kortelė), passport, driving licence, residence permit, and most government correspondence.
lietuva-pasas	lithuania-passport-number	Lietuva	Lithuania	LT	Pasas	Lithuanian Passport Number	[Lithuanian passport](https://en.wikipedia.org/wiki/Lithuanian_passport)	Eight-digit passport-document number printed on the Lithuanian passport (the same document number form is also used on the national ID card).	Lithuanian passport (Pasas) and national ID card issued by the Migration Department.
malta-national-identification-number	malta-national-identification-number	Malta	Malta	MT	Numru tal-Identità	National Identification Number	[National identification number — Malta](https://en.wikipedia.org/wiki/National_identification_number#Malta)	Eight characters: seven digits and a trailing letter (M, G, A, P, L, H, B, or Z). The letter encodes the geographic origin and registration context: A foreigner with eRes Card; B Maltese births registered in the 1800s; G Gozitan births registered in the 1900s; H Gozitan births registered in the 2000s; L Maltese births registered in the 2000s; M Maltese births registered in the 1900s; P Maltese citizens registered without an original birth certificate from their country of birth; Z Gozitan births registered in the 1800s.	Maltese national identity card (Karta tal-Identità) issued by Identity Malta.
malta-passport-number	malta-passport-number	Malta	Malta	MT	Numru tal-Passaport	National Passport Number	[Maltese passport](https://en.wikipedia.org/wiki/Maltese_passport)	Seven numerical digits, issued by Identity Malta (formerly the Civil Registration Directorate).	Maltese passport (Passaport) issued by Identity Malta.
nederland-burgerservice-nummer	netherlands-citizen-service-number	Nederland	Netherlands	NL	Burgerservicenummer (BSN)	Citizen Service Number (BSN)	[Burgerservicenummer](https://en.wikipedia.org/wiki/Burgerservicenummer)	Nine-digit citizen service number issued through the Personal Records Database (Basisregistratie Personen, BRP); introduced in 2007, validated with a variant of the eleven-test (Luhn-style) algorithm, and required for all dealings with the Dutch government.	Dutch passport, identity card (Nederlandse identiteitskaart), driving licence, payslips, tax correspondence, and the DigiD-protected MijnOverheid portal.
nederland-identiteitskaart-nummer	netherlands-national-identity-card-number	Nederland	Netherlands	NL	Identiteitskaart-nummer	National Identity Card Number	[Dutch identity card](https://en.wikipedia.org/wiki/Dutch_identity_card)	Nine characters: positions 1 and 2 are uppercase letters [A-Z] except O; positions 3–8 are alphanumeric [A-Z][0-9] except the letter O; position 9 is a digit [0-9]. The character O is disallowed (to avoid confusion with 0), but the digit 0 is allowed.	Dutch national identity card (Nederlandse identiteitskaart), printed on the front of the card and in the machine-readable zone.
nederland-paspoort-nummer	netherlands-passport-number	Nederland	Netherlands	NL	Paspoortnummer	National Passport Number	[Dutch passport](https://en.wikipedia.org/wiki/Dutch_passport)	Nine characters: positions 1 and 2 are uppercase letters [A-Z] except O; positions 3–8 are alphanumeric [A-Z][0-9] except O; position 9 is a digit [0-9].	Dutch passport (Nederlands paspoort), printed on the data page and in the machine-readable zone.
norge-fodselsnummer	norway-birth-number	Norge	Norway	NO	Fødselsnummer	Birth Number / 11-digit Personal ID	[National identification number — Norway](https://en.wikipedia.org/wiki/National_identification_number#Norway)	Eleven digits where the first six are the date of birth (DDMMYY) and the next three are a personal/serial number — odd for males, even for females. The final two digits are check digits computed using a weighted Modulus-11.	Norwegian passport, national ID card, driving licence, bank cards, payslips, and the Altinn government portal.
northern-ireland-health-and-care-number	northern-ireland-health-and-care-number	Northern Ireland / Tuaisceart Éireann	Northern Ireland	GB-NIR	Health and Care (H&C) Number	Health and Care (H&C) Number	[Health and Social Care (Northern Ireland)](https://en.wikipedia.org/wiki/Health_and_Social_Care_(Northern_Ireland))	Ten-digit identifier in the same 3-3-4 format as the NHS number, drawn from a reserved range (320 000 001 to 399 999 999) and used across Health and Social Care Northern Ireland (HSCNI).	HSCNI medical card, GP correspondence, hospital appointment letters, and prescriptions across Northern Ireland.
polska-numer-identyfikacji-podatkowej	poland-tax-identification-number	Polska	Poland	PL	Numer Identyfikacji Podatkowej (NIP)	Tax Identification Number (NIP)	[National identification number — Poland](https://en.wikipedia.org/wiki/National_identification_number#Poland)	Ten numeric digits with a Modulus-11 weighted check digit, used by investment firms and the tax administration to identify a person or organisation for tax purposes.	NIP confirmation document, tax forms (PIT, including the PIT-8 issued by investment firms), invoices, and contracts.
polska-pesel	poland-national-identification-number	Polska	Poland	PL	PESEL (Powszechny Elektroniczny System Ewidencji Ludności)	National Identification Number (PESEL)	[PESEL](https://en.wikipedia.org/wiki/PESEL)	Eleven numeric digits in the form YYMMDDSSSSC: the date of birth (with month offset +20 for the 2000s, +40 for the 2100s, +60 for the 2200s, −20 for the 1800s), four serial digits (the penultimate digit encodes sex — odd male, even female), and a weighted Modulus-10 check digit. The PESEL is assigned shortly after birth and is permanent.	Polish ID card (dowód osobisty), passport, driving licence, birth certificate, and the obywatel.gov.pl portal.
portugal-numero-de-identificacao-fiscal	portugal-tax-identification-number	Portugal	Portugal	PT	Número de Identificação Fiscal (NIF)	Tax Identification Number (NIF)	[Personal identification number (Portugal)](https://en.wikipedia.org/wiki/Personal_identification_number_(Portugal))	Nine digits, the first eight sequential and the ninth a check digit. The leading digit encodes the entity type: 1–3 individuals; 45 non-residents earning Portuguese income subject to withholding; 5 resident legal entities; 6 public administration; 70/74/75 indivisible estates; 71 non-resident entities subject to definitive withholding; 72 investment funds; 77 NIFs allocated by the tax authority; 78 non-residents in the VAT refund scheme; 79 special cases; 8 sole traders (legacy); 90/91 condominiums, irregular societies, undivided inheritances; 98 non-residents without permanent establishment; 99 civil societies without legal personality.	Portuguese Cartão de Cidadão (which carries the NIF alongside the civil identification number), tax invoices, employer/contract documents, and the Portal das Finanças.
portugal-passaporte	portugal-passport	Portugal	Portugal	PT	Passaporte	National Passport Number	[Portuguese passport](https://en.wikipedia.org/wiki/Portuguese_passport)	Uniform optical-model passport identified by one letter and six digits — position 1 is a letter [A-Z] and positions 2–6 are digits [0-9].	Portuguese passport, printed on the data page and in the machine-readable zone.
romania-cod-numeric-personal	romania-personal-numerical-code	România	Romania	RO	Cod Numeric Personal (CNP)	Personal Numerical Code (CNP)	[National identification number — Romania](https://en.wikipedia.org/wiki/National_identification_number#Romania)	Thirteen digits: a leading sex/century digit (1 male 1900–1999, 2 female 1900–1999, 3 male 1800–1899, 4 female 1800–1899, 5 male 2000+, 6 female 2000+, 7 male resident, 8 female resident, 9 foreign citizen); date of birth (YYMMDD); two-digit county code (01–52, or 99 for non-Romanians, or 4 followed by a Bucharest sector number); a three-digit serial number; and a check digit computed by weighted multiplication with the constant 279146358279 modulo 11 (remainder 10 maps to 1).	Romanian Birth Certificate, Identity Card (Carte de Identitate), and Driving Licence.
romania-pasaport	romania-passport	România	Romania	RO	Paşaport	National Passport Number	[Romanian passport](https://en.wikipedia.org/wiki/Romanian_passport)	Eight characters: positions 1 and 2 are letters [A-Z] and positions 3–8 are digits [0-9].	Romanian passport (Paşaport), printed on the data page.
slovenija-emso	slovenia-unique-master-citizen-number	Slovenija	Slovenia	SI	Enotna Matična Številka Občana (EMŠO)	Unique Master Citizen Number (EMŠO)	[Unique Master Citizen Number](https://en.wikipedia.org/wiki/Unique_Master_Citizen_Number)	Thirteen digits in the form DDMMYYY-RR-GGGC: seven-digit date of birth (last three digits of the year), a two-digit registry/republic code (50/59 for Slovenia after 18 February 1999, with 10–19 Bosnia and Herzegovina, 20–29 Montenegro, 30–39 Croatia, 40–49 Macedonia, 70–79 Serbia, 80–89 Autonomous Province of Vojvodina, 90–99 Kosovo for pre-1999 issuance), three digits combining sex and serial number (000–499 male, 500–999 female), and a weighted Modulus-11 check digit defined in Article 4 of the Regulation on the way of assigning the personal identification number.	Slovenian Personal Identity Card (Osebna izkaznica), passport, birth certificate, and tax records.
slovensko-pas	slovakia-passport-number	Slovensko	Slovakia	SK	Cestovný pas	National Passport Number	[Slovak passport](https://en.wikipedia.org/wiki/Slovak_passport)	Nine characters in the format XXNNNNNNN — two block letters followed by seven digits — with a ten-year validity.	Slovak passport (Cestovný pas); citizens who hold two passports simultaneously will only find the document number on the first one.
slovensko-rodne-cislo	slovakia-birth-number	Slovensko	Slovakia	SK	Rodné číslo (RČ)	Birth Number / Personal Number	[National identification number — Slovakia](https://en.wikipedia.org/wiki/National_identification_number#Slovakia)	Ten-digit code in the form YYMMDDCCCX: the first six digits are the date of birth (with month offset of +50 for women, so MM is 01–12 for men and 51–62 for women), CCC is a serial number distinguishing persons born on the same date, and X is a check digit such that the entire number is divisible by 11.	Birth certificate (rodný list), national ID card (občiansky preukaz), driving licence, and other personal documents.
suomi-henkilotunnus	finland-personal-identity-code	Suomi	Finland	FI	Henkilötunnus (HETU)	Personal Identity Code (HETU)	[Personal identity code (Finland)](https://en.wikipedia.org/wiki/Personal_identity_code_(Finland))	Eleven characters of the form DDMMYYCZZZQ: DDMMYY is the date of birth, C is the century sign (+ for 1800–1899, - for 1900–1999, A for 2000–2099), ZZZ is the individual number (odd for males and even for females; for people born in Finland the range is 002–899), and Q is the check character (a digit or letter from a defined alphabet). Example: 311280-888Y.	Finnish ID card, passport, residence permit, driving licence, and the Suomi.fi portal.
sverige-personnummer	sweden-personal-identity-number	Sverige	Sweden	SE	Personnummer	Personal Identity Number	[Personal identity number (Sweden)](https://en.wikipedia.org/wiki/Personal_identity_number_(Sweden))	National identification number issued by Skatteverket since 1947, twelve digits CCYYMMDDZZZQ in automated data (or ten digits when the century is implicit). CCYYMMDD is the date of birth, ZZZ is the individual serial number whose third digit is odd for males and even for females, and Q is a Luhn check digit.	Passports, national ID cards, driving licences, health-care cards, payslips, and tax correspondence; held by the Swedish Tax Agency (Skatteverket).
united-kingdom-national-health-service-number	united-kingdom-national-health-service-number	United Kingdom	United Kingdom	GB	National Health Service (NHS) Number	National Health Service (NHS) Number	[NHS number](https://en.wikipedia.org/wiki/NHS_number)	Shared NHS numbering scheme across England, Wales, and the Isle of Man: ten digits in 3-3-4 format with a Modulus-11 check digit. Scotland and Northern Ireland operate parallel schemes (CHI and H&C Number) using the same ten-digit shape.	NHS medical card, GP correspondence, prescriptions, hospital letters, and the NHS App.
united-kingdom-national-insurance-number	united-kingdom-national-insurance-number	United Kingdom	United Kingdom	GB	National Insurance Number (NINO)	National Insurance Number (NINO)	[National Insurance number](https://en.wikipedia.org/wiki/National_Insurance_number)	Two prefix letters, six digits, and one suffix letter (always A, B, C, or D). Example: AB123456A. The letters D, F, I, Q, U, and V are not used as either of the first two letters of the prefix; O is not used as the second letter. Administrative prefixes used internally by HMRC and DWP (OO, CR, FY, MW, NC, PP, PZ, TN) are not valid NINOs.	Plastic National Insurance card (legacy), letters from HMRC or DWP, payslips, form P60, tax returns, and the HMRC personal tax account.
united-states-social-security-number	united-states-social-security-number	United States	United States	US	Social Security Number (SSN)	Social Security Number (SSN)	[Social Security number](https://en.wikipedia.org/wiki/Social_Security_number)	Nine-digit number in XXX-XX-XXXX format issued by the Social Security Administration since 1936 to track workers' earnings; randomised since 2011. Now a de facto national identifier in the United States.	Social Security card, W-2 forms, tax returns (IRS Form 1040), payslips, and the SSA "my Social Security" portal.
