# SOUP register — IEC 62304 §5.3.3 / §8.1.2, ISO/IEC 27001 A.8 supply chain
#
# Every *direct* dependency of this crate must appear here with a purpose
# and a safety/security relevance note. `src/compliance/soup.rs` merges
# these annotations with the real dependency graph from Cargo.lock to
# produce the CycloneDX SBOM at GET /api/compliance/sbom, and its unit
# tests fail the build when a direct dependency is missing (or when an
# entry names a package that is no longer depended on).
#
# Scope note: this service is a **workforce identity registry**. It
# holds personal data and serves a FHIR `Practitioner` representation,
# and it additionally stores aptitude / personality / psychometric /
# selection assessment results per worker — employment-consequential
# data whose disclosure can cost someone a job. It is not a medical
# device: no output drives an individual's treatment (the qualification
# caveat in agents/share/compliance-for-healthcare.md §2.4). It
# therefore carries no IEC 62304 safety classification, and
# GET /api/compliance says so rather than leaving it inferred.
#
# "Safety relevance" below means relevance to the correctness and
# confidentiality of personal data, not to physical safety.
#
# Transitive dependencies are listed in the SBOM but are NOT individually
# annotated. Stating that boundary is more honest than implying we have
# reviewed several hundred crates.
#
# Format: name<TAB>purpose<TAB>safety and security relevance
# Blank lines and lines starting with '#' are ignored.
#
tokio	Async runtime.	Availability-relevant. Runtime failure means unavailability, not disclosure. Industry standard.
sha3	Second integrity digest alongside SHA-256 for the audit chain and record hashes.	SECURITY-CRITICAL. Kept for structural diversity: SHA-3 is a sponge construction, unrelated to SHA-256's Merkle-Damgard chaining, so a cryptanalytic advance against one design family does not transfer. FIPS 202, so it carries NIST standing while being structurally independent of SHA-2. RustCrypto, same maintainers as sha2.
integrity-mac	Keyed integrity MACs (HMAC-SHA256) with HKDF domain separation, key sourcing, zeroization, and key generation (path dependency).	SECURITY-CRITICAL. The MAC is the only stored integrity value an adversary holding just the database cannot forge — the SHA-256 and SHA-3 digests are unkeyed with published pre-image formats. Extracted into one shared crate rather than copied per service precisely because a key-handling defect in a copy would not announce itself: it would make MACs forgeable while every test stayed green. First-party code with its own test suite, including golden vectors cross-checked against an independent HKDF implementation.
worker-matcher	Canonical matching engine and domain types (path dependency).	SECURITY-CRITICAL. A false match conflates two workers, merging one person's employment and assessment history into another's. First-party code with its own spec, property tests, and no-IO posture.
entity-ref	Cross-service EntityRef URN and EdgeKind registry for the same_identity (worker to person) edge (path dependency).	SECURITY-RELEVANT. Edge-kind validation is what stops an arbitrary edge type being written into entity_links; the URN format is what the link-graph aggregator resolves. Worker's symmetric write side is still a follow-up, so today this is contract only.
authentication-verifier	Offline PASETO v4.public verification and the shared ABAC policy engine (path dependency).	SECURITY-CRITICAL. Every authentication and authorization decision depends on it, including record-level checks and masking obligations. First-party code with its own forgery and policy-property test suites.
fluvio	Real-broker durable-bus relay sink (BUS-3, src/relay.rs FluvioSink; ported from the case-service BUS-1 reference). Optional, behind this crate's own `fluvio` Cargo feature (off by default) — a default build carries none of it.	Security-relevant when the feature is enabled. Ships the canonical event envelope (which can carry worker-linked personal data, including assessment results) to an external broker over the network; the relay never sends an entity's committed change without its outbox row, but a defect here could misroute or drop events reaching downstream consumers. Not present in a default release artefact.
mimalloc	Global allocator for MUSL static builds.	Availability-relevant. An allocator defect would be a process-wide fault. Enabled only for the musl target, through a cfg-gated global allocator.
serial_test	Serialises tests that mutate process-wide environment variables.	Test-only. Not present in a release artefact.
assertables	Richer assertion macros.	Test-only. Not present in a release artefact.
tokio-test	Async test utilities.	Test-only. Not present in a release artefact.
mockall	Mock implementations of the repository and matcher traits.	Test-only. Not present in a release artefact.
tempfile	Temporary directories for the Tantivy index tests.	Test-only. Not present in a release artefact.
ed25519-dalek	Mints throwaway Ed25519 keys so the token-verification path is tested in-process.	Test-only. Not present in a release artefact; the test seed is not a secret.
rusty_paseto	Mints PASETO v4.public tokens in the auth unit tests.	Test-only in this crate. The production verification path lives in authentication-verifier.
base64	Encodes test key material into the JWK-shaped key set.	Test-only. Not present in a release artefact.
criterion	Statistical benchmarking of the matching and search paths.	Test-only. Not present in a release artefact.
opentelemetry-proto	Generated OTLP/gRPC protobuf types (TraceServiceServer, MetricsServiceServer) backing the in-process collector in tests/otlp_collector/, proving real export (PRO-H9).	Test-only. Not present in a release artefact.
tokio-stream	Wraps the collector's TcpListener as an incoming connection stream for tonic's transport server in tests/otlp_collector/.	Test-only. Not present in a release artefact.
reqwest	Makes the real HTTP request in tests/otlp_middleware.rs that proves the mounted trace_mw layer returns a traceparent header.	Test-only. Not present in a release artefact.
