# SOUP register — IEC 62304 §5.3.3 / §8.1.2, ISO/IEC 27001 A.8 supply chain
#
# Every *direct* dependency of this crate must appear here with a purpose
# and a safety/security relevance note. `src/compliance/soup.rs` merges
# these annotations with the real dependency graph from Cargo.lock to
# produce the CycloneDX SBOM at GET /api/compliance/sbom, and its unit
# tests fail the build when a direct dependency is missing (or when an
# entry names a package that is no longer depended on).
#
# Scope note: this service is a **person identity registry**. It holds
# personal data and serves a FHIR `Patient` representation, but it is not
# a medical device: no output drives an individual's treatment, and no
# patient's clinical progress is tracked here (the qualification caveat
# in agents/share/compliance-for-healthcare.md §2.4). It therefore
# carries no IEC 62304 safety classification, and GET /api/compliance
# says so rather than leaving it inferred.
#
# "Safety relevance" below means relevance to the correctness and
# confidentiality of personal data, not to physical safety.
#
# Transitive dependencies are listed in the SBOM but are NOT individually
# annotated. Stating that boundary is more honest than implying we have
# reviewed several hundred crates.
#
# Format: name<TAB>purpose<TAB>safety and security relevance
# Blank lines and lines starting with '#' are ignored.
#
tokio	Async runtime.	Availability-relevant. Runtime failure means unavailability, not disclosure. Industry standard.
thiserror	Typed error enums (src/error.rs).	Security-relevant. Error variants determine the HTTP status a failure maps to, including the 401/403 split that must not leak whether a record exists.
dotenvy	Loads .env in development (src/config).	Security-relevant. Reads configuration including secret material in dev; production configuration comes from the environment, not a file.
async-trait	Async methods in traits (repository and matcher seams).	Not security-relevant. Compile-time macro only, no runtime behaviour of its own.
strsim	Jaro-Winkler and Levenshtein string similarity (src/matching/algorithms.rs).	SECURITY-CRITICAL. Drives probabilistic identity matching. A false match merges two people's records — a confidentiality failure, not merely a data-quality one. Input is length-capped (SEC-M1) because the algorithms are O(n·m).
prometheus	Metrics registry and text-exposition rendering for /metrics.prom.	Not security-relevant. Counters only; the endpoint exposes no record data and is on the public allow-list for scrapers.
sha2	SHA-256 for the tamper-evident audit hash chain and record content hashes.	SECURITY-CRITICAL. The integrity evidence for HIPAA §164.312(c) rests on this implementation. RustCrypto, widely audited; constant-time is not required for an unkeyed hash.
sha3	Second integrity digest alongside SHA-256 for the audit chain and record hashes.	SECURITY-CRITICAL. Kept for structural diversity: SHA-3 is a sponge construction, unrelated to SHA-256's Merkle-Damgard chaining, so a cryptanalytic advance against one design family does not transfer. FIPS 202, so it carries NIST standing while being structurally independent of SHA-2. RustCrypto, same maintainers as sha2.
integrity-mac	Keyed integrity MACs (HMAC-SHA256) with HKDF domain separation, key sourcing, zeroization, and key generation (path dependency).	SECURITY-CRITICAL. The MAC is the only stored integrity value an adversary holding just the database cannot forge — the SHA-256 and SHA-3 digests are unkeyed with published pre-image formats. Extracted into one shared crate rather than copied per service precisely because a key-handling defect in a copy would not announce itself: it would make MACs forgeable while every test stayed green. First-party code with its own test suite, including golden vectors cross-checked against an independent HKDF implementation.
person-matcher	Canonical matching engine and domain types (path dependency).	SECURITY-CRITICAL. A false match conflates two people, merging one person's record into another's. First-party code with its own spec, property tests, and no-IO posture.
entity-ref	Cross-service EntityRef URN and EdgeKind registry for the same_identity (person to worker) edge (path dependency).	SECURITY-RELEVANT. Edge-kind validation is what stops an arbitrary edge type being written into entity_links; the URN format is what the link-graph aggregator resolves.
authentication-verifier	Offline PASETO v4.public verification and the shared ABAC policy engine (path dependency).	SECURITY-CRITICAL. Every authentication and authorization decision depends on it, including record-level checks and masking obligations. First-party code with its own forgery and policy-property test suites.
mimalloc	Global allocator for MUSL static builds.	Availability-relevant. An allocator defect would be a process-wide fault. Enabled only for the musl target, through a cfg-gated global allocator.
fluvio	Real-broker durable-bus relay sink (BUS-3, src/relay.rs FluvioSink, ported from case-service's BUS-1). Optional, behind this crate's own `fluvio` Cargo feature (off by default) — a default build carries none of it.	Security-relevant when the feature is enabled. Ships the canonical event envelope (which can carry person-linked data) to an external broker over the network; the relay never sends an entity's committed change without its outbox row, but a defect here could misroute or drop events reaching downstream consumers. Not present in a default release artefact.
serial_test	Serialises tests that mutate process-wide environment variables.	Test-only. Not present in a release artefact.
assertables	Richer assertion macros.	Test-only. Not present in a release artefact.
tokio-test	Async test utilities.	Test-only. Not present in a release artefact.
mockall	Mock implementations of the repository and matcher traits.	Test-only. Not present in a release artefact.
tempfile	Temporary directories for Tantivy index and bulk artifact tests, including the path-confinement pins (SEC-B4).	Test-only. Not present in a release artefact.
proptest	Property-based tests, including the never-panic properties over matcher input (SEC-M6).	Test-only. Not present in a release artefact, but it is what makes the never-panic-on-untrusted-input invariant checkable rather than asserted.
ed25519-dalek	Mints throwaway Ed25519 keys so the token-verification path is tested in-process.	Test-only. Not present in a release artefact; the test seed is not a secret.
rusty_paseto	Mints PASETO v4.public tokens in the auth unit tests.	Test-only in this crate. The production verification path lives in authentication-verifier.
base64	Encodes test key material into the JWK-shaped key set.	Test-only. Not present in a release artefact.
criterion	Statistical benchmarking of the matching and search paths.	Test-only. Not present in a release artefact.
bytes	Reads encoded Parquet bytes back in src/bulk/parquet_format.rs's round-trip tests (parquet::file::reader::ChunkReader is implemented for Bytes, not std::io::Cursor).	Test-only. Not present in a release artefact.
opentelemetry-proto	Generated OTLP/gRPC protobuf types (TraceServiceServer, MetricsServiceServer) backing the in-process collector in tests/otlp_collector/, proving real export (PRO-H9).	Test-only. Not present in a release artefact.
tokio-stream	Wraps the collector's TcpListener as an incoming connection stream for tonic's transport server in tests/otlp_collector/.	Test-only. Not present in a release artefact.
reqwest	Makes the real HTTP request in tests/otlp_middleware.rs that proves the mounted trace_mw layer returns a traceparent header.	Test-only. Not present in a release artefact.
